id_point,building_id,last_updated,first_updated,name_point,description,units,tagged_units,raw_unit_id,value,type,point_type_id,measurement_id,datasource_hash,topic,equip_id,id_bdg,name_bdg,equip_type_abbr,equip_type_name,area_served_desc,tags
285274,427,1648992338265.0,1626897850730.0,ahu_dat_av_1,ACF Discharge Air Temp,noUnits,f,2,56.90,Supply Air Temperature,425,1,57a665dc5dddb779c38f000c033a94d1,onboard/officebldg1/device1003838/analogValue/10,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
285273,427,1648992338265.0,1626897850730.0,dehum_dat_stp_1,,noUnits,f,2,57.0,Leaving Dehumidification Air Temperature Setpoint,237,1,3598305da264a5f5ba8cbcf3ce2c181b,onboard/officebldg1/device1003838/analogValue/1,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
285272,427,1648992338462.0,1626897850827.0,bypass_ao_1,Bypass Damper Output,volts,v,11,10.0,Bypass Damper Position,153,7,3e3a8b5995a49641009f4d91e0b762ed,onboard/officebldg1/device1003838/analogOutput/9,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
386896,427,1648992330175.0,1643824486983.0,unoccupied_cool_setpoint_1,,degreesFahrenheit,f,2,85.0,Unoccupied Cooling Setpoint,125,1,c3407060436db9abd5844077462714bd,onboard/officebldg1/device1003819/analogValue/3,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
285269,427,1648992338461.0,1626897850827.0,rad_1,Return Air Damper,volts,v,11,10.0,Return Air Damper Position,150,7,1574419d1c2a2605bf24f2350ae318f0,onboard/officebldg1/device1003838/analogOutput/6,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
285266,427,1648992338265.0,1626897850730.0,rel_dmpr_output_1,Relief Air Damper Output,volts,v,11,6.0,Relief Air Damper Position,151,7,75262c8577bbfc8eb2d06ec86ef8fc5c,onboard/officebldg1/device1003838/analogOutput/2,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
386899,427,1648992330175.0,1643824486983.0,schedule_1,Occupancy Schedule,,occ,18,1: active,Occupancy Schedule,277,10,29cd18ee1081bb1c4ab332d1ab7be49e,onboard/officebldg1/device1003819/binaryValue/4,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
284884,427,1648992330175.0,1626897860913.0,cooling_percent_av_1,,percent,%,3,0.0,Cooling Output,327,23,399ca5134304ac9759e5c1e1c22a94cd,onboard/officebldg1/device1003819/analogValue/15,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
288449,427,1648992328612.0,1626897858623.0,co2_hi_1,High Space CO2,,on/off,20,0: inactive,High Carbon Dioxide Alarm,448,11,b8c256d0c2a8bc9b9d81749a4f75a715,onboard/officebldg1/device3225/binaryValue/6,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
288435,427,1648992328416.0,1626897858425.0,co2_stpt_1,CO2 Setpoint,partsPerMillion,ppm,10,750.0,Zone Carbon Dioxide Setpoint,145,6,a21b5b8d075e540b91972794ac54b94b,onboard/officebldg1/device3225/analogValue/2,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
288432,427,1648992328416.0,1626897858425.0,rad_1,Return Air Damper,volts,v,11,6.59,Return Air Damper Position,150,7,0c184f5670214a5788fb4a55ff4e50d6,onboard/officebldg1/device3225/analogOutput/7,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
288425,427,1648992328416.0,1626897858425.0,oah_1,OA Humidity,percentRelativeHumidity,%,3,69.40,Outside Air Humidity,98,2,577e5a581a7de34b66b415a220992034,onboard/officebldg1/device3225/analogInput/9,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
288424,427,1648992328416.0,1626897858425.0,dtn_temp_1,North Air Temperature,degreesFahrenheit,f,2,80.5,Zone Temperature,77,1,6846467e5987b43a390c3d65298ecd22,onboard/officebldg1/device3225/analogInput/8,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
288417,427,1648992328416.0,1626897858424.0,zone_hum_1,Zone Humidity,percentRelativeHumidity,%,3,25.29,Zone Humidity,99,2,934e91c0d15236b2745230eb99107b03,onboard/officebldg1/device3225/analogInput/13,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
288416,427,1648992328416.0,1626897858425.0,oa_temp_1,Outdoor Air Temperature,degreesFahrenheit,f,2,45.40,Outside Air Temperature,76,1,14d5531a1aae5e1280f76e7ba3edee10,onboard/officebldg1/device3225/analogInput/12,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
285292,427,1648992338462.0,1626897850827.0,ahu_sta_bv_1,,,on/off,20,1: active,Status,121,11,d1d38548ebf938a41d933013c138a79e,onboard/officebldg1/device1003838/binaryValue/14,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
386895,427,1648992330175.0,1643824486983.0,occupied_heat_setpoint_1,,degreesFahrenheit,f,2,72.0,Occupied Heating Setpoint,124,1,348ba46db7899f8a9908a604c0558052,onboard/officebldg1/device1003819/analogValue/2,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
387256,427,1648992338462.0,1643824490572.0,occ_stat_1,Zone Occupancy Status,,occ,18,1: active,Occupancy Status,177,10,584b0d16897fc550cd5aecedd463a1c9,onboard/officebldg1/device1003838/binaryValue/15,27039,427,Office Building,AHU,Air Handling Unit,First Floor,"['ahu', 'hvac']"
