id_point,building_id,last_updated,first_updated,device,objectId,name_point,description,units,tagged_units,raw_unit_id,value,type,point_type_id,measurement_id,datasource_hash,topic,equip_id,id_bdg,name_bdg,equip_type_abbr,equip_type_name,area_served_desc,tags
209214,259,1535773500000.0,1517461200000.0,,,,Boiler 1_Config: Application Type,,,23,Heating HW,Virtual,434,18,741790cadccec0e6b98968af3effddb3,nyserda+0000082294+boiler1+Boiler 1_Config: Application Type,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209221,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Heating HW Temp: Entering,F,,2,58,Hot Water Return Temperature,92,1,d767061b5385702216b67abfa16d0a3f,nyserda+0000082294+boiler1+Boiler 1_Heating HW Temp: Entering,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209220,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Heating HW Temp: Delta T,F,,2,14.7,Hot Water Differential Temperature,95,1,d7dc77a4af751e31c52cec0634975d5d,nyserda+0000082294+boiler1+Boiler 1_Heating HW Temp: Delta T,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209213,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Boiler Status,On/Off,,20,Off,Status,121,11,d84ba75ade61d54e9177da059e579729,nyserda+0000082294+boiler1+Boiler 1_Boiler Status,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209219,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Heating HW Temp Setpoint: Active,F,,2,140,Hot Water Supply Temperature Setpoint,131,1,70433a782206ee3017bebd205a37e704,nyserda+0000082294+boiler1+Boiler 1_Heating HW Temp Setpoint: Active,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209212,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Boiler Operating Capacity,,,23,0,Virtual,434,18,5e5f655768d84236c7b5aee4e5dfdf0f,nyserda+0000082294+boiler1+Boiler 1_Boiler Operating Capacity,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209222,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Heating HW Temp: Leaving,F,,2,72.8,Hot Water Supply Temperature,88,1,fe2f54a4720c0297f1363a4f18f3a6c3,nyserda+0000082294+boiler1+Boiler 1_Heating HW Temp: Leaving,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209218,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Heating HW Pump Output,On/Off,,20,Off,Status,121,11,67accde1ab19e7ef78c6a15c5ef97bd9,nyserda+0000082294+boiler1+Boiler 1_Heating HW Pump Output,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209217,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Heating HW Flow Status,On/Off,,20,No,Status,121,11,35aefbe239bec56913ee8755d0d05c15,nyserda+0000082294+boiler1+Boiler 1_Heating HW Flow Status,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209211,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Alarm Status,,,23,Normal,Virtual,434,18,fce2763d9b1e0003af77606f9da255de,nyserda+0000082294+boiler1+Boiler 1_Alarm Status,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209216,259,1535773500000.0,1520952300000.0,,,,Boiler 1_Heating HW Enable,On/Off,,20,No,Command,166,11,e55c1f3f4023eed90cd6ff9003d1faf5,nyserda+0000082294+boiler1+Boiler 1_Heating HW Enable,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
209215,259,1535773500000.0,1517461200000.0,,,,Boiler 1_Config: Boiler Type,,,23,Other,Virtual,434,18,311a0a824e0dcccfafd2271cd289820b,nyserda+0000082294+boiler1+Boiler 1_Config: Boiler Type,19850,259,82294,BLR,Boiler,,"['boiler', 'hvac']"
