id_point,building_id,last_updated,first_updated,device,objectId,name_point,description,units,tagged_units,raw_unit_id,value,type,point_type_id,measurement_id,datasource_hash,topic,equip_id,id_bdg,name_bdg,equip_type_abbr,equip_type_name,area_served_desc,tags
320465,442,1620927900000.0,1609477200000.0,,,Rye Terrace: 150 Building B Loop DHW DHW Return Temperature,,F,f,2,114.15,Hot Water Return Temperature,92,1,7476d1d3e986b2a45a204f4dab4c55e5,nyserda+0000150388+hotWaterPlant-150-Domestic+Rye Terrace: 150 Building B Loop DHW DHW Return Temperature,29560,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320464,442,1625111100000.0,1593576000000.0,,,Rye Terrace: 150 Building B Loop DHW DHW Outlet status,,?,?,23,1,Virtual,434,18,fbe6dbf2fb8d8d0432235c2a55ccd029,nyserda+0000150388+hotWaterPlant-150-Domestic+Rye Terrace: 150 Building B Loop DHW DHW Outlet status,29560,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320463,442,1620927900000.0,1594041300000.0,,,Rye Terrace: 150 Building B Loop DHW DHW Loop Supply Temperature,,F,f,2,116.52,Hot Water Supply Temperature,88,1,d749ea964d76c6c9003af66bc3a5ef07,nyserda+0000150388+hotWaterPlant-150-Domestic+Rye Terrace: 150 Building B Loop DHW DHW Loop Supply Temperature,29560,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320462,442,1606797900000.0,1594041300000.0,,,Rye Terrace: 150 Building B Loop DHW DHW Loop Return Temperature,,F,f,2,135.10,Hot Water Return Temperature,92,1,643b8411641388cca8a882cbf74e6432,nyserda+0000150388+hotWaterPlant-150-Domestic+Rye Terrace: 150 Building B Loop DHW DHW Loop Return Temperature,29560,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320461,442,1625111100000.0,1593576000000.0,,,Rye Terrace: 150 Building B Loop DHW DHW Inlet status,,?,?,23,1,Virtual,434,18,1905246fe868458d03178cfe5aa23fba,nyserda+0000150388+hotWaterPlant-150-Domestic+Rye Terrace: 150 Building B Loop DHW DHW Inlet status,29560,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320472,442,1606797900000.0,1593576000000.0,,,Rye Village: 160 Building B Loop Hot Water Hot Water  Loop Temperature Setpoint,,F,f,2,147.86,Hot Water Supply Temperature Setpoint,131,1,907b5192432dd6a1913c1c2b4e9266a8,nyserda+0000150388+hotWaterPlant-160+Rye Village: 160 Building B Loop Hot Water Hot Water  Loop Temperature Setpoint,29561,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320471,442,1606797900000.0,1593576000000.0,,,Rye Village: 160 Building B Loop Hot Water Hot Water  Loop Supply Temperature,,F,f,2,147.62,Hot Water Supply Temperature,88,1,af107a58c0b54f50289e9632a80dd9ed,nyserda+0000150388+hotWaterPlant-160+Rye Village: 160 Building B Loop Hot Water Hot Water  Loop Supply Temperature,29561,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320470,442,1606797900000.0,1593576000000.0,,,Rye Village: 160 Building B Loop Hot Water Hot Water Loop Return temperature,,F,f,2,68,Hot Water Return Temperature,92,1,a2952521db18e84701451044e6fadd2b,nyserda+0000150388+hotWaterPlant-160+Rye Village: 160 Building B Loop Hot Water Hot Water Loop Return temperature,29561,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320469,442,1606797900000.0,1593576000000.0,,,Rye Village: 160 Building B Loop DHW DHW Supply status,,?,?,23,3,Virtual,434,18,4cbaa5c608c477a1bf28ea33e886b9a6,nyserda+0000150388+hotWaterPlant-160-Domestic+Rye Village: 160 Building B Loop DHW DHW Supply status,29562,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320468,442,1606797900000.0,1593576000000.0,,,Rye Village: 160 Building B Loop DHW DHW Return status,,?,?,23,3,Virtual,434,18,8d93173dea3706a6fd0cfb68a029f393,nyserda+0000150388+hotWaterPlant-160-Domestic+Rye Village: 160 Building B Loop DHW DHW Return status,29562,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320467,442,1606797900000.0,1593576000000.0,,,Rye Village: 160 Building B Loop DHW DHW Loop Supply Temperature,,F,f,2,136.52,Hot Water Supply Temperature,88,1,ed89da772ff30c547ec1870b00092f31,nyserda+0000150388+hotWaterPlant-160-Domestic+Rye Village: 160 Building B Loop DHW DHW Loop Supply Temperature,29562,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
320466,442,1606797900000.0,1593576000000.0,,,Rye Village: 160 Building B Loop DHW DHW Loop Return Temperature,,F,f,2,80.45,Hot Water Return Temperature,92,1,99cf7c72f1a9116a31e694f61f121d8c,nyserda+0000150388+hotWaterPlant-160-Domestic+Rye Village: 160 Building B Loop DHW DHW Loop Return Temperature,29562,442,150388,HWS,Hot Water Plant,,"['hvac', 'hotWaterPlant']"
