timestamp,354_21687_223281,101_17077_191483,101_17078_191496,101_17079_191509,101_17080_191522,101_17081_191535,101_17082_191553,101_17083_191571,101_17084_191589,101_17085_191608,101_17086_191627,101_17087_191643,101_17088_191662,101_17089_191681,101_17090_191700,101_17091_191719,101_17092_191738,101_17093_191757,101_17094_191776,101_17095_191795,101_17096_191814,101_17097_191833,101_17098_191852,101_17099_191871,101_17100_191890,101_17101_191908,101_17102_191926,101_17103_191945,101_17104_191964,101_17105_191983,101_17106_192002,101_17107_192021,101_17108_192040,101_17109_192059,101_17110_192078,101_17111_192097,101_17112_192116,101_17113_192135,101_17114_192154,101_17115_192173,101_17116_192192,101_17117_192211,101_17118_192230,101_17119_192249,101_17120_192268,101_17121_192287,101_17122_192306,101_17123_192325,101_17124_192342,101_17125_192361,101_17126_192380,101_17127_192397,101_17128_192414,101_17129_192431,101_17130_192448,101_17131_192465,101_17132_192482,101_17133_192499,101_17134_192518,119_17572_195095,119_17573_195113,119_17574_195131,119_17575_195149,119_17576_195167,119_17577_195185,119_17578_195203,119_17579_195218,119_17580_195236,119_17581_195254,119_17582_195272,119_17583_195288,119_17584_195304,119_17585_195322,119_17586_195340,119_17587_195358,119_17588_195374,119_17589_195391,119_17590_195408,119_17591_195425,119_17592_195441,119_17593_195458,119_17594_195475,119_17595_195490,119_17596_195507,119_17597_195523,119_17598_195538,119_17599_195553,119_17600_195568,119_17601_195586,119_17602_195601,119_17603_195616,119_17604_195631,119_17605_195646,119_17606_195661,119_17607_195676,119_17608_195691,119_17609_195707,119_17610_195724,119_17611_195739,119_17612_195756,119_17613_195771,119_17614_195786,119_17615_195801,119_17616_195817,119_17617_195833,119_17618_195848,119_17619_195863,119_17620_195878,119_17621_195893,119_17622_195909,119_17623_195926,119_17624_195943,119_17625_195958,119_17626_195973,119_17627_195988,119_17628_196003,119_17629_196019,119_17630_196035,119_17631_196050,119_17632_196068,119_17633_196083,119_17634_196102,119_17635_196118,119_17636_196133,119_17637_196148,119_17638_196164,119_17639_196180,119_17640_196197,119_17641_196215,119_17642_196233,119_17643_196251,119_17644_196269,119_17645_196287,119_17646_196305,119_17647_196323,119_17648_196340,119_17649_196355,119_17650_196372,119_17651_196387,119_17652_196402,119_17653_196420,119_17654_196437,119_17655_196454,119_17656_196472,119_17657_196490,119_17658_196508,119_17659_196526,119_17660_196541,119_17661_196556,119_17662_196573,119_17663_196591,119_17664_196609,119_17665_196627,119_17666_196645,162_18310_199398,162_18329_199639,162_18330_199644,162_18351_199705,162_18352_199710,162_18353_199715,162_18354_199719,162_18355_199724,162_18356_199729,162_18357_199734,162_18358_199739,162_18359_199744,162_18360_199749,162_18361_199754,162_18362_199759,162_18363_199764,162_18364_199769,162_18365_199774,162_18366_199779,162_18367_199784,162_18368_199789,162_18369_199793,162_18370_199797,162_18371_199802,162_18372_199807,162_18373_199812,162_18374_199817,162_18375_199822,162_18376_199827,162_18377_199832,162_18378_199837,162_18379_199842,162_18380_199847,162_18381_199852,162_18382_199857,162_18383_199862,162_18384_199867,162_18385_199872,162_18386_199877,162_18387_199882,162_18388_199887,162_18389_199892,162_18390_199897,162_18391_199902,162_18392_199907,162_18393_199912,162_18394_199917,162_18395_199922,162_18396_199927,162_18397_199932,190_18813_202816,190_18814_202821,190_18815_202826,190_18816_202831,190_18817_202836,190_18818_202841,190_18819_202846,190_18820_202851,190_18821_202856,190_18822_202863,190_18823_202868,190_18824_202873,190_18849_202958,190_18859_202988,190_18860_202995,190_18861_203000,190_18862_203006,202_19034_204240,259_19858_209333,259_19859_209338,259_19860_209343,259_19861_209348,259_19862_209353,259_19863_209358,259_19864_209362,259_19865_209367,259_19866_209372,259_19867_209377,259_19868_209382,259_19869_209387,259_19870_209392,259_19871_209397,259_19872_209405,259_19873_209412,259_19874_209419,259_19875_209423,259_19876_209428,259_19877_209433,259_19878_209438,259_19879_209446,259_19880_209451,259_19881_209459,259_19882_209462,259_19883_209465,259_19884_209468,259_19885_209475,259_19886_209482,259_19887_209489,259_19888_209496,259_19889_209499,259_19890_209502,259_19891_209509,259_19892_209516,259_19893_209523,259_19929_209630,259_19930_209636,259_19931_209642,259_19932_209646,259_19933_209653,259_19934_209664,259_19935_209668,259_19936_209669,259_19937_209670,259_19938_209678,259_19939_209688,259_19940_209698,259_19941_209708,259_19942_209719,259_19943_209726,259_19944_209732,259_19945_209738,259_19946_209744,259_19947_209750,259_19948_209756,259_19949_209759,259_19950_209765,259_19951_209769,259_19952_209775,259_19990_209986,259_19991_209991,259_19992_209996,259_19993_210001,259_19994_210006,259_19995_210011,354_21648_222918,354_21649_222927,354_21665_223041,354_21666_223047,354_21667_223053,354_21668_223058,354_21669_223067,354_21670_223080,354_21672_223112,354_21673_223121,354_21674_223134,354_21675_223156,354_21676_223165,354_21677_223176,354_21678_223185,354_21679_223196,354_21680_223207,354_21681_223215,354_21682_223226,354_21683_223237,354_21684_223248,354_21685_223259,354_21686_223270
2017-11-07T16:15:00Z,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-07T16:30:00Z,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-07T16:45:00Z,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-11T21:45:00Z,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-11T23:00:00Z,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-13T05:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31T08:15:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01T05:00:00Z,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03T14:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03T14:45:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
